gpa,gre,math_camp,final_grade,camp_score
2.66,137.28755055379546,0,166.3433792724374,-2.8114560921439904
3.69,146.19737803355446,0,177.9955679641806,-0.35177611733419867
1.86,135.16024727264985,0,160.74537372333276,-2.4491326742692
3.8,147.55312506968565,1,211.32699023283388,0.36307727809979307
3.85,154.64959208071187,1,209.26754833694517,0.28507324767027653
3.1,153.64562987829095,1,199.48566579090593,0.36249407410772894
3.12,154.33520723530535,0,187.35796589431305,-0.37688240219618696
3.1,161.1606428175265,0,191.56678074109456,-0.5102369163741352
2.88,147.38491246082782,0,191.05944597943892,-1.2042368816099074
3.17,146.69483675010198,1,186.6182496679336,0.8680379335632854
2.8,141.229593474943,1,192.06785287159948,-0.03672578406897081
2.96,149.0265044926584,1,194.2699763505534,-0.016161665046667384
3.55,144.67182146330944,1,210.5240914709609,2.2663007829791653
3.42,155.20478335244235,1,177.5785798086142,0.36529919898408947
3.14,150.92669704994273,1,189.32224031664015,1.5259913303276598
2.86,157.09102556885665,0,148.45375082076322,-1.7950163532335437
2.91,149.14871456110149,0,171.9724294604595,-0.6045645426845927
3.59,153.93070987619947,1,196.05838027023137,1.5515819290318085
3.16,153.71798351630602,0,152.88555802559296,-1.1119835118689818
3.19,150.55906314172304,1,209.86385652531422,1.7852698968005565
3.82,145.588011971605,0,205.45478289855333,-0.31731110068891033
3.01,153.20232518659196,1,182.41008338853075,0.29742432741683733
2.49,137.84409984399736,0,181.17110340270392,-1.2890660983790432
3.9,140.90338461372096,1,179.54316431557265,2.751024184367509
2.78,141.38127645185853,0,157.58951080806094,-1.1423203921574687
3.49,152.1706565167469,1,164.0626744293307,0.26654216859997315
2.84,141.40023114042728,0,178.90118253468722,-1.0042889082314421
3.17,145.68517446282485,1,177.30915295825534,0.8589338890131655
3,154.16638462277828,1,191.98732566443297,0.2465840037784498
3.15,144.5059073223234,0,147.98926136077517,-3.170860331634496
2.36,153.52161099237276,0,152.90746863892667,-0.7236186854861799
2.68,144.23762735076065,0,174.90141711248688,-4.442191189654414
1.97,144.67897065532827,0,144.89173843454182,-0.49713660132390314
2.56,144.43839131537013,0,178.42847750724985,-2.0514920859958483
3.29,155.4681919909132,0,158.70538079419578,-0.3163960644172299
3.17,143.44775740636828,0,151.05596499458514,-2.6112890914374587
2.75,148.90336374510997,1,159.29233191618744,0.004157768992413269
2.9,148.7579627372631,0,187.5099431819812,-0.31309661215441076
3.3,150.09256798840988,1,142.05887731098403,0.8507712238181685
2.8,156.36762457069048,0,171.50260888391452,-0.6020836991390979
2.82,152.62666986042652,0,202.7667500449471,-2.015751687224546
2.72,144.00257309287824,1,171.4615717452333,-0.11033789946152095
2.62,147.63289616905598,0,159.18428298314888,-0.4632299091456486
3.13,154.9890561272833,0,181.74859461717472,-0.5317720302232354
3.15,138.036280906046,0,171.33591588741604,-3.756874463267015
2.24,138.87925485760118,1,161.17261862986527,0.14283212168282622
3.09,153.63028401977743,0,174.9037745281526,-1.3784067520822139
2.72,147.7837938214662,0,181.4077184654168,-0.7673667140745554
2.79,138.7519692594497,0,175.1352497452209,-1.5485066186666643
3.39,158.6553328136997,1,192.5622053844054,1.5115951132491792
3.89,150.34772727993152,1,141.63225054326745,0.5585699193806537
2.96,152.2529517935536,0,179.3673558090435,-1.3729477185847492
2.69,144.87265605297523,0,185.7457992424903,-2.2531308279755344
3.96,146.60613013931757,0,152.85865738199982,-2.858070425078661
3.48,139.86608753745097,0,189.8839210208924,-1.1617848426732476
3.03,147.9620004316569,0,157.88299516013555,-3.123652961503509
3.49,161.74255674850872,1,179.94064896038697,1.3139379226214432
2.7,153.30585577724557,1,187.3415011997776,-0.11397597759426126
3.74,149.11703915176182,0,214.52342743676644,-1.091798612787193
3.5,147.58213731124982,1,180.3260497573698,0.29183523111301257
3.18,150.7996579079488,0,142.9312635849032,-2.079789613710028
3.24,152.35956967494016,0,203.7718445841757,-1.0868770261842116
3.95,148.6944222940275,1,189.07134947927554,0.7162989718297954
3.39,153.81707602852157,1,212.44338113462547,0.30983839087535714
2.53,142.45629314319163,1,157.38022942821326,1.4107284987024014
2.99,150.0344795656091,0,183.29473245423083,-1.6231723597280285
3.68,151.09729418000464,1,199.31661662155054,0.04303616663924276
3.28,147.10419479173532,0,176.12127039980436,-0.2615945902911653
3.38,153.66976359770953,1,195.08876175862252,0.751788470930313
3.38,147.9818664295367,0,150.37357147205924,-1.648248045828851
2.54,146.36780262992633,1,198.7330458879184,1.061914862315745
3.38,148.59006563296194,0,177.9324945924365,-1.1013476743954866
3.99,152.2002185789616,1,179.84734339323776,1.0877081584909214
3.88,146.77336941443497,1,216.73463484849776,0.2899147880154014
3.22,144.50784285522528,0,183.6788538373741,-1.6278609260458548
3.37,148.27218106480407,0,172.53255685049623,-0.4015819845390354
2.66,150.54506903297855,0,190.16799909259927,-0.3774734830518732
3.46,148.75214604499263,0,199.8515076181552,-0.5182572506217097
3.68,149.05987191584228,1,140.29312856575498,2.047731230598863
3.15,152.82175530747782,1,197.2980130356337,1.8562648629509755
3.75,146.4543388691684,0,189.51123863812558,-1.14923193160429
2.71,149.94919091449532,1,184.967605424822,0.767781651512345
3.79,145.25487029199064,1,182.5924413169465,-0.12211612735953514
3.17,144.50004271160947,1,198.52651584603726,0.012437904656433574
3.55,148.51625068569615,0,185.5197375080987,-0.8780741552922459
3.15,146.61066942737656,1,183.35356688749505,2.278845256546561
2.92,146.5840745157793,1,192.11661523114364,1.9715504660600662
3.62,150.18843597574994,1,177.24533107876755,0.28108465837521757
2.87,147.40457380693664,1,193.72102990419714,1.6198108629058021
3.62,152.9279744710763,0,179.5287091496119,-1.8191485439933563
3.75,151.03840471733147,1,213.73032800228418,2.6493012040141677
3.46,156.20397345200644,0,170.64944325407632,-0.32886974936769786
3.36,153.87486037707754,1,209.7809745325445,2.4735005243015324
3.05,154.39045236355778,0,193.00616622607836,-1.1263539352651724
2.72,148.64146710560908,1,183.4360027658954,0.4562952281955359
3.52,156.5556784916468,1,199.42131108309695,0.6950305684110731
2.63,144.28103255558983,1,141.40847026430924,1.7579906670331622
3.62,152.93630691146467,0,189.9136034692128,-1.8313634736319206
3.97,149.1898780023262,0,184.0944665588217,-2.3366875943707344
3.48,158.56682383814268,0,211.42223952766437,-1.5403049661614168
3.37,151.71588367424232,0,187.69223988430429,-1.5312329770624833
2.95,147.56012461377605,1,185.62015257146854,0.916518778473491
3.56,153.04379863336857,0,191.12265127533357,-0.6017640161948062
3.06,149.8617895366513,1,213.51037934682282,2.509576177060177
2.44,149.40243146311943,0,183.6711617470333,-0.34739020271625276
3.05,142.636620152788,0,197.1602987037957,-0.4259802724310038
3.66,145.54179170386357,0,179.29138121260115,-3.1442181640759035
3.68,147.47664273332816,0,162.80430876234783,-0.47918250349490743
2.68,147.5632347438807,0,185.98999087517134,-0.19114251275360317
3.97,150.23790159817014,1,173.05249361157533,-0.06033458140141257
2.34,146.3681708795673,1,181.11250001272595,1.3844462571477654
3.24,152.428132314578,0,166.12605222012874,-0.5722684684066867
3.28,155.55976838433213,0,175.38144934671726,-4.405880555325938
2.14,135.8269253605168,1,177.1777036477214,0.8570797548894161
3.06,158.1421516999035,0,194.10210929733853,-2.179489127606703
3.27,148.66617676059568,0,180.36165330990082,-0.2843347379001624
3.95,152.85819837992085,0,189.785188229398,-0.16410019139986531
3.42,150.77088099883332,0,185.22142427129393,-1.185998239086275
3.86,152.7859092965103,1,211.8599337524472,0.2767033320242931
3.78,157.4578740882996,0,196.81491271753276,-1.6483193165198577
3.69,148.8463407626726,0,173.4014263259399,-2.643737516691373
3.85,149.66937386593116,1,197.6315744034379,0.31165255268609227
3.74,146.36010575547903,1,186.35804596644977,0.9280974481177274
3.24,156.24447983267805,1,186.6526281108916,0.8779860886891508
3.57,144.75858494671004,0,144.94699828505537,-0.7848473555789036
2.89,148.86146099680897,0,185.1652162040827,-1.5113655520327973
3.59,150.69570341613016,0,162.52500202650077,-0.22204377362525118
3.34,156.59377578888456,0,202.24375420776823,-2.087593189304817
2.76,147.20710252541548,1,176.51062726907946,0.4270608176673749
2.89,145.1915430869479,1,193.6232034448043,1.7260528964588948
3.23,152.28991545496814,1,194.63409839957063,-2.825766232579241e-4
2.91,142.2144989729838,1,169.2537592832381,1.1555060811685118
3.32,146.3710290161343,1,170.69396013033733,0.3207523326172883
3.21,150.17486545300991,1,186.4983588533108,0.1766273163050096
3.37,158.5126989068974,0,192.21321933435732,-2.561816913740447
3.78,130,0,165.62331448160015,-0.2724580639438866
3.94,143.18473807359834,1,182.46428386536738,1.5533145465257274
3.45,146.62133439854512,1,167.14625106690812,2.904369246757935
3.28,146.11085771452773,1,180.30643943054437,1.1817436321973465
3.53,152.7703508455866,1,214.42623550758867,1.2115338555304551
3.27,153.97719578990325,0,187.12559946490367,-1.229695469476301
2.22,145.74670238907683,0,176.3328586673975,-1.4430716582138483
2.91,152.72159381265126,1,164.0370965518867,1.454450507964217
2.71,143.763715419999,1,184.60948705305717,0.14148411438418385
3.66,148.11989862612654,0,207.46210262400965,-2.7649880297721148
3.48,156.94283723032578,1,175.14807244918325,0.7105201499219289
1.59,141.5865665532908,0,144.52359822305726,-1.108618716139043
3.43,146.98394718299053,0,203.0781651327547,-0.8467919643336949
3.79,152.55876148865863,0,176.1689648515827,-0.6921980228294725
3.14,147.74498896613932,0,197.84890756207392,-2.346206594686116
3.99,156.6146639880642,1,200.12038305559102,2.6502398451456477
3.36,143.6582362625322,1,155.64796192115827,1.8513314315672171
3.12,155.4003053155159,1,182.31550805428412,0.17324989287472903
